ActualGenerationOutput,ActualConsumption,DateTime
972.0,,2022-03-06T00:00:00.000Z
943.0,,2022-03-06T01:00:00.000Z
942.0,,2022-03-06T02:00:00.000Z
921.0,,2022-03-06T03:00:00.000Z
814.0,,2022-03-06T04:00:00.000Z
724.0,,2022-03-06T05:00:00.000Z
650.0,,2022-03-06T06:00:00.000Z
663.0,,2022-03-06T07:00:00.000Z
716.0,,2022-03-06T08:00:00.000Z
782.0,,2022-03-06T09:00:00.000Z
912.0,,2022-03-06T10:00:00.000Z
974.0,,2022-03-06T11:00:00.000Z
1003.0,,2022-03-06T12:00:00.000Z
984.0,,2022-03-06T13:00:00.000Z
869.0,,2022-03-06T14:00:00.000Z
785.0,,2022-03-06T15:00:00.000Z
701.0,,2022-03-06T16:00:00.000Z
673.0,,2022-03-06T17:00:00.000Z
632.0,,2022-03-06T18:00:00.000Z
586.0,,2022-03-06T19:00:00.000Z
563.0,,2022-03-06T20:00:00.000Z
512.0,,2022-03-06T21:00:00.000Z
499.0,,2022-03-06T22:00:00.000Z
478.0,,2022-03-06T23:00:00.000Z
AggregatedGenerationPerType,test,2022-03-09T08:36:33.480Z
